lxappearance 0.6.4-1
lz4 1:1.10.0-2
lzlib 1.15-1
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
md4c 0.5.2-1
mdadm 4.4-1
mesa 1:25.2.1-5
meson 1.9.0-1
minizip 1:1.3.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20250613-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.1-1
mpv 1:0.40.0-5
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
mujs 1.3.7-1
nasm 2.16.03-2
nautilus 48.3-1
ncurses 6.5-4
neovim 0.11.4-1
nettle 3.10.2-1
networkmanager 1.54.0-1
nilfs-utils 2.2.11-1
ninja 1.12.1-2
node-gyp 11.4.2-1
nodejs 24.7.0-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
noto-fonts-extra 1:2025.09.01-1
npm 11.6.0-1
npth 1.8-1
nspr 4.37-1
nss 3.115.1-1
ntfs-3g 2022.10.3-2
nwg-look 1.0.6-1
ocl-icd 2.3.3-1
onetbb 2022.2.0-1
oniguruma 6.9.10-1
openal 1.24.3-1
opencore-amr 0.1.6-2
opencv 4.12.0-4
openexr 3.3.5-2
openjpeg2 2.5.3-1
openssh 10.0p1-4
openssl 3.5.2-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
osinfo-db 20250606-1
ostree 2025.5-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20250702-2
pahole 1:1.30-2
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pango 1:1.56.4-1
pangomm 2.46.4-1
partclone 0.3.37-1
parted 3.6-2
patch 2.8-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.46-1
pcsclite 2.3.3-1
perl 5.42.0-1
perl-error 0.17030-2
perl-mailtools 2.22-2
perl-timedate 2.33-8
pinentry 1.3.2-1
pipewire 1:1.4.7-1
pipewire-audio 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-4
pnpm 10.15.1-1
polkit 126-2
polkit-kde-agent 6.4.4-1
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 25.08.0-1
poppler-glib 25.08.0-1
poppler-qt5 25.08.0-1
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
pps-tools 1.0.3-2
procps-ng 4.0.5-3
projectm 3.1.12-5
protobuf 32.0-1
proton-authenticator-bin 1.0.0-3
proton-authenticator-bin-debug 1.0.0-3
psmisc 23.7-1
pugixml 1.15-2
python 3.13.7-1
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-cffi 1.17.1-2
python-cryptography 45.0.6-1
python-filelock 3.19.1-1
python-gobject 3.52.3-3
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-mako 1.3.10-1
python-markdown 3.9.0-1
python-markupsafe 3.0.2-1
python-more-itertools 10.8.0-1
python-packaging 25.0-1
python-pip 25.2-1
python-platformdirs 4.4.0-1
python-psutil 7.0.0-1
python-pycparser 2.22-3
python-setuptools 1:80.9.0-1
python-six 1.17.0-1
python-tqdm 4.67.1-2
python-wheel 0.45.1-1
python-wxpython 1:4.2.3-3
qpdf 12.2.0-1
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-multimedia 5.15.17+kde+r2-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt5ct 1.9-1
qt6-base 6.9.2-1
qt6-declarative 6.9.2-1
qt6-multimedia 6.9.2-3
qt6-multimedia-ffmpeg 6.9.2-3
qt6-positioning 6.9.2-1
qt6-shadertools 6.9.2-1
qt6-svg 6.9.2-1
qt6-tools 6.9.2-1
qt6-translations 6.9.2-1
qt6-wayland 6.9.2-1
qt6-webchannel 6.9.2-1
qt6-webengine 6.9.2-2
qt6ct 0.10-5
qtdbusextended 0.0.3-2
